ProbeModel:"FP-2X-250-ZS30M-15",ProbeSerial:"FP101244",ProbeCalDate:"7-19-2021",ProbeOrientation:"MULTIAXIS",ProbeType:"2Dex",AveragingOn:True,AveragingNum:5,MeasureTime:20,DwellOn:True,DwellTime:500,StopForMeas:True,PointsX:51,PointsY:51,PointsZ:26,PointsMeasured:3618,
Num,Date,Time,Xset,Yset,Zset,Xpos,Ypos,Zpos,Bm,BmSD,Bx,BxSD,By,BySD,Bz,BzSD,Temp C,IndexX,IndexY,IndexZ,
43,2024-10-04,02:57:41.454,42,0,0,42.00005,0,0,49.0147347299376,0.000266928939008459,-2.55804742336089,0.00028139825417858,-0.589866518974304,0.000441126026210962,48.9443706817627,0.000694983108769128,21.7832279205322,42,0,0,
44,2024-10-04,02:57:45.075,43,0,0,43.00005,0,0,49.015259161815,0.00021765201435482,-2.56097359847983,0.000200639234762486,-0.589010980366677,0.00043325248495229,48.9447671966553,0.000245259899774192,21.7832794189453,43,0,0,
45,2024-10-04,02:57:48.461,44,0,0,44.00002,0,0,49.0160664101131,0.000437336029898296,-2.56229337978363,0.000449973079821631,-0.589853138208389,0.000304503885505165,48.9454907836914,0.000442279665405894,21.7837543487549,44,0,0,
46,2024-10-04,02:57:51.714,45,0,0,45.00002,0,0,49.0167628167525,0.000649984654335417,-2.56537331104263,0.000634310355842794,-0.590463443040848,0.00054453834251044,48.9460238342271,0.00048339917519892,21.7897491455078,45,0,0,
47,2024-10-04,02:57:55.292,46,0,0,46.00002,0,0,49.017103081131,0.000423503699630074,-2.5688115682601,0.000410722082555445,-0.590655984401703,0.000247344388409182,48.9461800537097,0.00023523305498778,21.7912845611572,46,0,0,
48,2024-10-04,02:57:58.724,47,0,0,47.00005,0,0,49.0173698365215,0.000264652017292817,-2.57314193439259,0.000398518656311445,-0.591281208753586,0.000316736296320989,48.9463376159664,0.000415208330701437,21.7879199981689,47,0,0,
49,2024-10-04,02:58:02.318,48,0,0,48.00002,0,0,49.0177554558618,0.000270499347198993,-2.57819240569894,0.000283305909871156,-0.59182778596878,0.000391891122936973,48.9463255157471,0.000474227877940072,21.7887763977051,48,0,0,
50,2024-10-04,02:58:05.831,49,0,0,49.00003,0,0,49.0179887199363,0.000307939483943927,-2.58245209503074,0.000293957676832591,-0.592547854423271,0.000159374522630002,48.9463196868896,9.87760512656469E-05,21.7946529388428,49,0,0,
51,2024-10-04,02:58:09.487,50,0,0,50.00003,0,0,49.0179023292982,0.000545017635874686,-2.58850871944428,0.000567421411041284,-0.593135136127061,0.000462450014356018,48.9460599670408,0.00036229865939994,21.7947311401367,50,0,0,
52,2024-10-04,02:58:13.043,50,1,0,50,1.00003,0,49.0155120816653,0.000196697075569398,-2.58954309653937,0.000205658798138408,-0.593699279308319,0.00018613484443874,48.9434569091797,0.000513642567014477,21.7850933074951,0,1,0,
53,2024-10-04,02:58:16.972,49,1,0,48.9999,1,0,49.0156882523181,0.000275725945448555,-2.58415351963043,0.000284755897469509,-0.592710315942764,0.000264327756036081,48.9439378356915,0.000279181836121994,21.7750701904297,1,1,0,
54,2024-10-04,02:58:20.970,48,1,0,47.9999,1,0,49.0154635162333,0.000397044042834924,-2.58173256873936,0.000401542192593144,-0.5922224640841,0.000350827710148298,48.9438631286621,0.000702707310733028,21.7782649993896,2,1,0,
55,2024-10-04,02:58:24.758,47,1,0,46.99994,1,0,49.0149793540944,0.00025761123320718,-2.57500247764587,0.000266335373005601,-0.591660719156265,0.000461832568355915,48.9437176818848,0.00042785595015028,21.7774124145508,3,1,0,
56,2024-10-04,02:58:28.422,46,1,0,45.99993,1,0,49.0147215695947,0.000222709107182525,-2.57253971290588,0.000198171516422839,-0.590966692207639,0.000607072520323426,48.9435963592507,0.000514801285585401,21.7798328399658,4,1,0,
57,2024-10-04,02:58:32.302,45,1,0,44.9999,1,0,49.0140342522592,0.000301402445989107,-2.56646000671387,0.000299939143177181,-0.590259234428406,0.000342031879155639,48.9432287597656,0.000588088167054299,21.7790012359619,5,1,0,
58,2024-10-04,02:58:35.981,44,1,0,43.9999,1,0,49.0134920558936,0.000194356601838306,-2.56572597694397,0.000192926514943909,-0.589250605818725,0.000112767159906252,48.9427444763155,0.000748667867706281,21.7735462188721,6,1,0,
59,2024-10-04,02:58:39.902,43,1,0,42.9999,1,0,49.0129475288927,0.000333967274848656,-2.56017935085296,0.000326347265665813,-0.589250943898972,0.000300106137200042,48.9424824066148,0.000598653666317067,21.7684326171875,7,1,0,
60,2024-10-04,02:58:43.749,42,1,0,41.99993,1,0,49.0124717111291,0.000580257623592902,-2.56091272163119,0.00055714798862258,-0.588805949211121,0.000202369272481993,48.9419137268067,0.000601467922219088,21.7741432189941,8,1,0,
61,2024-10-04,02:58:47.636,41,1,0,40.99993,1,0,49.0107235836504,0.000233332805279433,-2.55710034751627,0.000366849867120987,-0.588451370477676,0.000486699526429403,48.9405907440186,0.000412079136375011,21.763765335083,9,1,0,
62,2024-10-04,02:58:51.415,40,1,0,39.9999,1,0,49.0096871842142,0.000278539389017599,-2.55966998863178,0.000296121815128759,-0.588546540021897,0.000450534802469396,48.9392671356201,0.00032989900064915,21.7606468200684,10,1,0,
63,2024-10-04,02:58:55.190,39,1,0,38.99996,1,0,49.0083208259206,0.00019307072723999,-2.55472892761056,0.000186197132280734,-0.587780341625214,0.000232076151795141,48.9381590118408,0.000360008228302526,21.7584285736084,11,1,0,
64,2024-10-04,02:58:59.063,38,1,0,37.99996,1,0,49.0070762977217,0.000424307352825756,-2.55518520355224,0.00041860823396358,-0.587332296370832,0.000313179104247436,48.9368948669434,0.000370160249864643,21.744686126709,12,1,0,
65,2024-10-04,02:59:02.938,37,1,0,36.99995,1,0,49.0057907916112,0.000342237564454857,-2.55354089927674,0.000343334269070027,-0.586857906102116,0.000267632830258954,48.935705581665,0.000566767038825797,21.7428321838379,13,1,0,
66,2024-10-04,02:59:06.848,36,1,0,35.99995,1,0,49.0041075468774,0.000159727189117842,-2.55117121887126,0.000162369507948874,-0.586702015875054,0.000148258074493114,48.9341376647949,0.000424295212087316,21.7359523773193,14,1,0,
67,2024-10-04,02:59:10.770,35,1,0,34.99992,1,0,49.0021865164216,0.000229878736178956,-2.55014035606384,0.000239586263078295,-0.586261032342911,0.000308055916661985,48.9322762451172,0.000357178371140803,21.7296028137207,15,1,0,
68,2024-10-04,02:59:14.592,34,1,0,33.99992,1,0,49.0000664947742,0.000396384695443834,-2.54624657917023,0.000397401730423892,-0.586405739545041,0.000381350023414135,48.9303508148184,0.000316493377613833,21.7388591766357,16,1,0,
69,2024-10-04,02:59:18.483,33,1,0,32.99995,1,0,48.9976578340702,0.00041734494054388,-2.54295161342621,0.000451225132724434,-0.585383909463511,0.000229560993012758,48.9281034545891,0.00025835523368051,21.7321929931641,17,1,0,
70,2024-10-04,02:59:22.188,32,1,0,31.99995,1,0,48.9952198680671,0.000414015434975347,-2.53904296875,0.000406219470630913,-0.585489090442325,0.000373244733629709,48.9258830566406,0.000479890629403707,21.7259330749512,18,1,0,
71,2024-10-04,02:59:25.888,31,1,0,30.99992,1,0,48.9928077943751,0.000510306678693364,-2.53599761962891,0.000507144818214646,-0.584811137913239,0.000294973858689409,48.9236422424317,0.000734916364482573,21.7258682250977,19,1,0,
72,2024-10-04,02:59:29.696,30,1,0,29.99992,1,0,48.9894944020731,0.000248338141596108,-2.53159307670593,0.000242126425633514,-0.584060470104217,0.000484196395752042,48.9205422363281,0.00017805467670562,21.7203979492188,20,1,0,
73,2024-10-04,02:59:33.595,29,1,0,28.99995,1,0,48.9868506699114,0.000381279212677902,-2.52989369869142,0.000369498124753503,-0.583237211704254,0.000299578905729122,48.9180029296875,0.000238623263928942,21.7166519165039,21,1,0,
74,2024-10-04,02:59:37.512,28,1,0,27.99994,1,0,48.9834697000547,0.000264216617088759,-2.52750934696198,0.000168949349296198,-0.58180103802681,0.000123424543309651,48.9149199829101,0.000353634205298532,21.7199096679688,22,1,0,
75,2024-10-04,02:59:41.319,27,1,0,26.99994,1,0,48.9803945338242,0.000427807299286045,-2.52615599536896,0.000418893940763662,-0.581023688793182,0.000431197562098204,48.911757232666,0.000518220359127735,21.7166137695313,23,1,0,
76,2024-10-04,02:59:45.181,26,1,0,25.9999,1,0,48.9769056174851,0.000551054769490789,-2.52416423988325,0.000569882748241961,-0.579362878799439,0.000470047478057712,48.9083735198975,0.000417191628425145,21.7167816162109,24,1,0,
77,2024-10-04,02:59:49.081,25,1,0,24.99994,1,0,48.973675457768,0.000229132982957385,-2.5233314371109,0.000355065501801853,-0.578514646290361,0.000588878021335424,48.9053176574707,0.000188703135177441,21.7094841003418,25,1,0,
78,2024-10-04,02:59:53.012,24,1,0,23.9999,1,0,48.9695421760666,0.000282119241341723,-2.52299095058051,0.000432858030906511,-0.577384474276,0.000429093097631857,48.9009848480225,0.000613854953310659,21.7121906280518,26,1,0,
79,2024-10-04,02:59:56.910,23,1,0,22.9999,1,0,48.9656659874753,0.000240926265686687,-2.52129766368866,0.000241854655644718,-0.576086081504822,0.000203432807138449,48.897319229126,0.000267335487380446,21.7115364074707,27,1,0,
80,2024-10-04,03:00:00.796,22,1,0,21.9999,1,0,48.9614419326436,0.000333220559331696,-2.5217105178822,0.000343860353606809,-0.574701268672943,0.000125658781194995,48.8930734710693,0.000132627955016287,21.7123928070068,28,1,0,
